Q_Index,R_Index,Embed_Base,Embed_Means,Embed_Sd,VGG16_Base,VGG16_Means,VGG16_Sd
Q51852,R121586,0.372,0.3568,0.0603,0.2726,0.3041,0.0928
Q51853,R142500,0.8583,0.402,0.0792,0.6106,0.3238,0.0809
Q51856,R217718,0.4743,0.319,0.0638,0.6189,0.2454,0.0796
Q51858,R516172,0.4705,0.3949,0.0758,0.4759,0.3092,0.0827
Q51859,R491172,0.7445,0.2959,0.0582,0.3432,0.2055,0.1051
Q51862,R123566,0.3414,0.3087,0.0562,0.2945,0.2699,0.097
Q51863,R318375,0.7661,0.4029,0.1056,0.3418,0.3188,0.0805
Q51868,R284193,0.7356,0.4436,0.1053,0.6393,0.3108,0.0913
Q51869,R857976,0.7508,0.3296,0.0696,0.798,0.2831,0.0914
Q51871,R284899,0.3077,0.311,0.0611,0.4464,0.3135,0.0968
Q51874,R899535,0.742,0.3221,0.0944,0.6301,0.2814,0.0865
Q51883,R389237,0.6228,0.3004,0.05,0.522,0.2379,0.0774
Q51885,R628492,0.8187,0.3464,0.067,0.6605,0.2236,0.0723
Q51893,R561813,0.5459,0.3985,0.0942,0.4531,0.3339,0.1073
Q51895,R817804,0.406,0.4147,0.0916,0.2891,0.2563,0.0774
Q51898,R922666,0.5331,0.3915,0.0872,0.468,0.2486,0.0832
Q51910,R594620,0.3088,0.293,0.0531,0.5509,0.2485,0.0716
Q51924,R681799,0.8933,0.3749,0.0939,0.5286,0.3214,0.1066
Q51931,R383026,0.584,0.3874,0.0759,0.6245,0.295,0.0809
Q51944,R437269,0.2313,0.3754,0.0645,0.1066,0.2059,0.064
Q51946,R380039,0.918,0.3101,0.0829,0.8971,0.3124,0.1074
Q51947,R252181,0.6985,0.43,0.1131,0.5549,0.3451,0.0911
Q51948,R068827,0.5864,0.42,0.0878,0.5021,0.3122,0.0802
Q51953,R919523,0.7034,0.3465,0.0736,0.1751,0.1576,0.0625
Q51957,R690363,0.3888,0.3866,0.0913,0.5769,0.3179,0.0947
Q51966,R234915,0.7885,0.4307,0.1215,0.7801,0.3872,0.1202
Q51989,R217648,0.3756,0.3762,0.0792,0.1797,0.3765,0.0996
Q51995,R459184,0.6181,0.3707,0.0828,0.5685,0.3168,0.0988
Q51997,R081893,0.5053,0.3698,0.0775,0.3448,0.229,0.0661
Q52021,R828628,0.705,0.4102,0.1029,0.5054,0.3308,0.0849
Q52032,R709500,0.352,0.3716,0.0725,0.369,0.2507,0.0748
Q52035,R421097,0.8078,0.3229,0.0634,0.6117,0.2442,0.0735
Q52043,R003682,0.8009,0.2339,0.0596,0.4098,0.2891,0.0938
Q52046,R975906,0.7193,0.4173,0.0856,0.4855,0.3211,0.0899
Q52057,R515229,0.8243,0.2894,0.0623,0.4857,0.2682,0.0805
Q52060,R419975,0.7412,0.3401,0.0583,0.4824,0.2706,0.0806
Q52064,R496934,0.3991,0.4085,0.0958,0.7409,0.3345,0.1068
Q52069,R330107,0.3479,0.357,0.0951,0.3234,0.3397,0.1338
Q52073,R444279,0.8185,0.3257,0.0775,0.6851,0.3324,0.1064
Q52075,R771427,0.7882,0.3566,0.0803,0.5081,0.2199,0.0884
Q52082,R489076,0.3639,0.3494,0.0703,0.3942,0.3448,0.0849
Q52090,R057909,0.5916,0.4221,0.0952,0.4751,0.3361,0.1051
Q52091,R495382,0.5569,0.4262,0.0894,0.2137,0.2581,0.0782
Q52095,R510330,0.4461,0.3905,0.0861,0.3383,0.2609,0.0899
Q52097,R493562,0.4022,0.4139,0.0714,0.4495,0.3581,0.0991
Q52104,R575274,0.5693,0.3912,0.0621,0.3665,0.2914,0.0887
Q52106,R448447,0.4025,0.4278,0.0988,0.5137,0.3419,0.0848
Q52107,R107984,0.7476,0.3948,0.0886,0.7342,0.3022,0.0792
Q52111,R624933,0.6021,0.4123,0.0836,0.2498,0.1861,0.0751
Q52117,R238759,0.8461,0.3643,0.0907,0.7791,0.2519,0.0864
Q52125,R066846,0.7214,0.4195,0.1088,0.3571,0.2627,0.077
Q52128,R802002,0.5959,0.3394,0.078,0.4253,0.2698,0.0784
Q52137,R788232,0.7677,0.3743,0.0884,0.7175,0.3015,0.0929
Q52139,R575150,0.5885,0.3555,0.0638,0.5892,0.275,0.088
Q52143,R386338,0.3735,0.3299,0.0618,0.4198,0.2982,0.0915
Q52152,R353962,0.8193,0.2671,0.0588,0.6065,0.2492,0.093
Q52153,R254391,0.6211,0.3934,0.0887,0.2339,0.2959,0.0878
Q52161,R966743,0.6096,0.3969,0.0932,0.4127,0.3453,0.1202
Q52169,R423989,0.6705,0.4156,0.0982,0.3533,0.3164,0.0786
Q52171,R324840,0.5258,0.3469,0.0639,0.5871,0.2513,0.0879
Q52172,R348903,0.6298,0.3359,0.0693,0.6813,0.2869,0.0837
Q52173,R070188,0.7845,0.402,0.1102,0.9026,0.349,0.1203
Q52176,R130570,0.3263,0.3078,0.066,0.5366,0.2746,0.0825
Q52177,R614497,0.9016,0.3798,0.0973,0.7632,0.2813,0.1029
Q52191,R177361,0.9032,0.3461,0.0931,0.9198,0.2813,0.1127
Q52192,R754424,0.5383,0.3559,0.0809,0.3407,0.2522,0.077
Q52195,R776910,0.4233,0.3192,0.052,0.6628,0.2992,0.094
Q52197,R653421,0.6035,0.4332,0.0974,0.5153,0.2671,0.0713
Q52198,R083396,0.7503,0.3775,0.0819,0.464,0.3251,0.0908
Q52200,R902693,0.8465,0.4154,0.125,0.5171,0.2853,0.0991
Q52202,R694565,0.3441,0.3536,0.0688,0.4936,0.2862,0.0871
Q52210,R245177,0.4023,0.4266,0.106,0.3535,0.3739,0.1156
Q52211,R105511,0.719,0.3878,0.0847,0.7184,0.3096,0.1056
Q52214,R476272,0.2345,0.2987,0.0472,0.1037,0.2474,0.1017
Q52215,R400136,0.28,0.3239,0.063,0.4785,0.2727,0.0702
Q52223,R010005,0.6251,0.4524,0.0908,0.6156,0.2462,0.0689
Q52230,R519985,0.4199,0.4227,0.0752,0.209,0.3331,0.082
Q52231,R250960,0.8917,0.4267,0.1319,0.9752,0.3684,0.1172
Q52236,R905959,0.5604,0.4052,0.0719,0.3249,0.2428,0.0715
Q52237,R904592,0.8261,0.3868,0.0822,0.4351,0.2779,0.077
Q52245,R841405,0.2666,0.2758,0.0466,0.1214,0.143,0.1142
Q52251,R346592,0.6471,0.4301,0.101,0.5251,0.3206,0.0799
Q52252,R813211,0.5739,0.3227,0.0647,0.7442,0.2426,0.0834
Q52260,R990815,0.6381,0.4205,0.0817,0.5468,0.3184,0.0899
Q52261,R323908,0.9282,0.2553,0.0639,0.756,0.2061,0.1133
Q52262,R909740,0.9254,0.2787,0.0722,0.8384,0.229,0.0723
Q52265,R288834,0.3979,0.4186,0.094,0.1469,0.28,0.091
Q52266,R247801,0.7675,0.2917,0.0636,0.7558,0.2517,0.0803
Q52268,R136384,0.5557,0.4412,0.0776,0.6978,0.341,0.0973
Q52272,R674837,0.6407,0.286,0.0802,0.6757,0.244,0.0963
Q52286,R691172,0.9031,0.3295,0.0902,0.6018,0.2619,0.1084
Q52289,R703513,0.5499,0.4133,0.0843,0.1828,0.2766,0.0974
Q52291,R110537,0.7845,0.4313,0.1212,0.7328,0.2988,0.1224
Q52292,R306071,0.7033,0.3855,0.0873,0.4828,0.3049,0.0812
Q52295,R324415,0.7598,0.2768,0.0633,0.3658,0.2468,0.0675
Q52308,R983620,0.7309,0.3528,0.0839,0.4996,0.2733,0.0858
Q52310,R227276,0.4703,0.3416,0.0513,0.4053,0.2573,0.097
Q52311,R645932,0.392,0.367,0.0636,0.0741,0.1305,0.0595
Q52312,R335900,0.4837,0.3791,0.0848,0.1916,0.2395,0.0556
Q52313,R719917,0.9236,0.3841,0.0801,0.8346,0.2402,0.068
Q52316,R500254,0.8469,0.2979,0.0864,0.6887,0.3304,0.1057
Q52330,R838914,0.8918,0.3247,0.071,0.9209,0.3146,0.089
Q52333,R070020,0.8122,0.4214,0.0853,0.425,0.295,0.069
Q52334,R262703,0.5432,0.4064,0.0918,0.6338,0.2993,0.0916
Q52342,R237305,0.682,0.4149,0.0797,0.578,0.3225,0.0946
Q52348,R041312,0.9152,0.3288,0.0673,0.9541,0.3595,0.1265
Q52352,R664181,0.4416,0.3698,0.07,0.4341,0.2391,0.0785
Q52353,R048505,0.5634,0.4155,0.0816,0.7467,0.2823,0.0874
Q52373,R739879,0.3584,0.3755,0.081,0.4083,0.2536,0.076
Q52398,R119282,0.7458,0.3816,0.0889,0.666,0.2996,0.0841
Q52399,R811851,0.6979,0.4015,0.0891,0.6968,0.3124,0.1064
Q52410,R561221,0.3953,0.3677,0.064,0.4458,0.2386,0.0751
Q52413,R671569,0.2801,0.3352,0.055,0.0834,0.1576,0.0591
Q52414,R524972,0.5347,0.386,0.0772,0.5546,0.3167,0.0779
Q52415,R451069,0.3297,0.2884,0.0443,0.2788,0.1829,0.115
Q52417,R252169,0.6703,0.361,0.0817,0.763,0.2989,0.0974
Q52427,R070814,0.9349,0.3334,0.0943,0.9036,0.1958,0.1307
Q52439,R879759,0.4212,0.4088,0.0685,0.1946,0.278,0.0799
Q52443,R031479,0.5522,0.3931,0.0905,0.363,0.2723,0.0734
Q52444,R168421,0.5116,0.3805,0.0766,0.3662,0.321,0.075
Q52450,R562452,0.801,0.3687,0.089,0.1372,0.2025,0.0651
Q52451,R395045,0.5373,0.401,0.0812,0.3828,0.2898,0.0782
Q52452,R846551,0.7704,0.4065,0.0974,0.6349,0.3498,0.1011
Q52454,R810984,0.8099,0.4184,0.0895,0.616,0.256,0.0874
Q52455,R106879,0.8377,0.3947,0.1119,0.8344,0.3288,0.0895
Q52456,R672317,0.9103,0.4022,0.1052,0.8491,0.3674,0.1223
Q52457,R046140,0.6543,0.4446,0.1244,0.5573,0.3756,0.1195
Q52466,R601741,0.8734,0.3969,0.113,0.9299,0.2775,0.1419
Q52472,R370893,0.8099,0.3671,0.0753,0.8,0.2594,0.0917
Q52475,R385637,0.6959,0.2537,0.0516,0.9424,0.2217,0.0804
Q52478,R748068,0.7778,0.4283,0.1041,0.7277,0.3492,0.0953
Q52485,R226387,0.5968,0.3875,0.0623,0.2265,0.2294,0.075
Q52487,R418552,0.776,0.3767,0.0692,0.7325,0.2733,0.0923
Q52489,R499325,0.4676,0.4364,0.0818,0.3772,0.3289,0.1018
Q52490,R795806,0.7099,0.3364,0.0656,0.4092,0.2668,0.0931
Q52495,R970628,0.6981,0.268,0.0695,0.2991,0.2765,0.0768
Q52502,R327605,0.358,0.4141,0.0647,0.2486,0.3369,0.0946
Q52520,R995919,0.7934,0.3935,0.102,0.6612,0.3446,0.1012
Q52530,R050638,0.3539,0.3657,0.0719,0.428,0.3052,0.0796
Q52536,R922698,0.3634,0.4264,0.1013,0.5467,0.332,0.0855
Q52540,R104189,0.8754,0.3162,0.058,0.8955,0.2299,0.0818
Q52547,R894052,0.828,0.3397,0.0805,0.8775,0.2158,0.0751
Q52562,R506518,0.3487,0.397,0.0749,0.3912,0.3545,0.0972
Q52570,R834192,0.8907,0.3198,0.0685,0.4862,0.275,0.0819
Q52574,R270349,0.495,0.4025,0.0787,0.3328,0.3016,0.0893
Q52579,R000260,0.6534,0.3727,0.0944,0.5251,0.368,0.1172
Q52581,R310097,0.7946,0.4007,0.1115,0.8672,0.3111,0.1063
Q52588,R583145,0.5402,0.3378,0.0777,0.5314,0.2168,0.0793
Q52593,R107241,0.5295,0.3912,0.0815,0.2797,0.2755,0.0771
Q52596,R808315,0.4566,0.366,0.0711,0.2411,0.2463,0.074
Q52601,R277140,0.3438,0.3502,0.0708,0.317,0.3022,0.0882
Q52605,R178322,0.6696,0.3599,0.0704,0.4048,0.2709,0.0895
Q52619,R013642,0.5862,0.3031,0.068,0.7653,0.2637,0.0878
Q52623,R668857,0.8318,0.3396,0.0712,0.6696,0.2718,0.087
Q52628,R108895,0.688,0.3489,0.078,0.5084,0.252,0.0788
Q52629,R025854,0.3413,0.3292,0.0649,0.4685,0.3214,0.1087
Q52637,R773821,0.5114,0.3707,0.079,0.3096,0.2854,0.0785
Q52649,R856736,0.4905,0.3758,0.0678,0.4057,0.3205,0.0889
Q52656,R062946,0.5895,0.4189,0.0979,0.4631,0.2834,0.0835
Q52666,R123156,0.4402,0.3734,0.0599,0.551,0.3263,0.0919
Q52675,R180452,0.6891,0.4311,0.1051,0.7114,0.3082,0.1111
Q52694,R275850,0.4801,0.2387,0.0477,0.3137,0.2956,0.0888
Q52704,R298334,0.4904,0.3572,0.0546,0.272,0.2677,0.0905
Q52717,R605346,0.3072,0.3473,0.0629,0.2893,0.3227,0.0798
Q52719,R484636,0.5937,0.4393,0.0971,0.1883,0.3403,0.1024
Q52724,R249080,0.9049,0.33,0.0817,0.705,0.2835,0.0788
Q52732,R348983,0.5066,0.4274,0.0987,0.3396,0.3717,0.1096
Q52746,R100652,0.3223,0.3811,0.0664,0.3698,0.3684,0.0875
Q52747,R729877,0.8791,0.3867,0.0761,0.5681,0.3016,0.0953
Q52759,R418793,0.6136,0.4053,0.089,0.5342,0.3307,0.1097
Q52762,R865419,0.7844,0.3542,0.0744,0.6571,0.2509,0.0765
Q52770,R768878,0.2319,0.239,0.0632,0.2088,0.2805,0.0972
Q52774,R972377,0.6937,0.4368,0.0944,0.5794,0.2854,0.1075
Q52775,R623581,0.6978,0.3966,0.084,0.4923,0.3364,0.1092
Q52779,R423650,0.8249,0.423,0.116,0.3934,0.2581,0.0781
Q52781,R311651,0.3755,0.3589,0.0672,0.1836,0.2323,0.0697
Q52785,R041520,0.7602,0.3498,0.073,0.5931,0.3272,0.0735
Q52788,R855225,0.8294,0.3915,0.0975,0.4039,0.3161,0.0779
Q52798,R645189,0.37,0.3172,0.0579,0.4736,0.2689,0.0764
Q52808,R878596,0.9092,0.3629,0.0907,0.9763,0.1875,0.0755
Q52810,R205757,0.4038,0.366,0.0718,0.2988,0.2384,0.0744
Q52816,R144855,0.5595,0.4114,0.0881,0.5313,0.3279,0.0817
Q52822,R892923,0.4086,0.3474,0.0605,0.4666,0.2518,0.0709
Q52829,R154053,0.5344,0.4025,0.0901,0.4779,0.3232,0.0764
Q52836,R816482,0.6782,0.3697,0.1022,0.6171,0.281,0.083
Q52864,R191265,0.4213,0.4043,0.0843,0.193,0.2152,0.0654
Q52867,R363988,0.7073,0.4133,0.1072,0.763,0.3554,0.111
Q52868,R946939,0.4538,0.3814,0.0644,0.5298,0.3297,0.088
Q52879,R964314,0.2745,0.2489,0.0445,0.3665,0.1846,0.0966
Q52880,R971763,0.4533,0.397,0.0748,0.2145,0.2545,0.1037
Q52881,R142982,0.7515,0.3905,0.1007,0.5555,0.3274,0.0953
Q52886,R338933,0.7203,0.3441,0.079,0.7579,0.2805,0.0932
Q52888,R451826,0.8317,0.3312,0.0847,0.9292,0.2542,0.1108
Q52895,R252484,0.3144,0.3125,0.0491,0.4925,0.2051,0.1024
Q52905,R237729,0.2351,0.313,0.0589,0.4454,0.3054,0.0809
Q52906,R731597,0.6502,0.3996,0.0934,0.557,0.3105,0.0936
Q52915,R084557,0.4547,0.353,0.0735,0.3089,0.2815,0.0874
Q52922,R757461,0.754,0.3737,0.0912,0.6953,0.321,0.0775
Q52925,R719832,0.9236,0.4172,0.1171,0.9165,0.3718,0.1042
Q52928,R095569,0.4726,0.3415,0.0707,0.2733,0.2604,0.0757
Q52932,R078111,0.127,0.1356,0.029,0.2259,0.188,0.0625
Q52935,R022102,0.4459,0.4106,0.0763,0.4769,0.3378,0.0734
Q52938,R617352,0.3873,0.3192,0.0473,0.3385,0.2745,0.0884
Q52942,R017910,0.4722,0.3157,0.0549,0.3012,0.2447,0.0641
Q52946,R862825,0.6222,0.4294,0.0925,0.7211,0.2751,0.0854
Q52952,R878233,0.4,0.3541,0.0595,0.3325,0.2664,0.0728
Q52954,R692792,0.6892,0.4023,0.0826,0.5841,0.3117,0.0991
Q52962,R284672,0.7026,0.4273,0.0953,0.4341,0.2806,0.0959
Q52966,R919748,0.451,0.3667,0.0645,0.0955,0.1425,0.0618
Q52976,R819414,0.4117,0.328,0.0576,0.3049,0.2997,0.0736
Q52980,R241341,0.3158,0.369,0.0605,0.3272,0.2283,0.0745
Q52992,R291329,0.311,0.344,0.0666,0.2332,0.1703,0.0606
Q52995,R378608,0.6543,0.4045,0.0927,0.75,0.2061,0.0933
Q53008,R656431,0.3888,0.3784,0.082,0.3438,0.2634,0.0795
Q53012,R821619,0.2228,0.261,0.0462,0.1914,0.1502,0.1129
Q53015,R009151,0.7508,0.417,0.1115,0.7957,0.3345,0.1234
Q53025,R707957,0.6224,0.4499,0.1055,0.2868,0.2993,0.0917
Q53027,R680036,0.6194,0.3878,0.0826,0.5659,0.3302,0.0956
Q53032,R023323,0.772,0.3514,0.0689,0.8297,0.2555,0.0869
Q53035,R060719,0.3391,0.2541,0.0483,0.232,0.1994,0.1143
Q53045,R224210,0.7849,0.3151,0.0728,0.6812,0.34,0.1184
Q53051,R778072,0.6415,0.4361,0.0981,0.1492,0.2428,0.0746
Q53052,R069470,0.4083,0.334,0.0716,0.2732,0.265,0.0711
Q53055,R446301,0.9373,0.3546,0.0796,0.8685,0.2244,0.0674
Q53063,R610298,0.5246,0.3897,0.0835,0.3483,0.3007,0.0873
Q53067,R148455,0.5647,0.3969,0.0814,0.4799,0.3129,0.0978
Q53074,R140747,0.7548,0.3289,0.078,0.6658,0.2494,0.0975
Q53075,R959545,0.8435,0.2965,0.0696,0.7141,0.2865,0.0987
Q53079,R451203,0.8169,0.3983,0.0958,0.5225,0.3302,0.0856
Q53087,R629181,0.7347,0.4738,0.1197,0.6792,0.2923,0.0968
Q53096,R764055,0.7715,0.3921,0.0966,0.4525,0.2249,0.0887
Q53100,R555943,0.7545,0.4022,0.083,0.723,0.3077,0.0822
Q53106,R087823,0.3589,0.3797,0.0703,0.3425,0.2592,0.0807
Q53110,R090484,0.5391,0.2488,0.043,0.2956,0.1967,0.0986
Q53113,R650358,0.8708,0.4067,0.1111,0.6642,0.277,0.1105
Q53121,R924622,0.754,0.3058,0.0727,0.4408,0.2698,0.0908
Q53122,R328668,0.9113,0.4339,0.1206,0.9306,0.3389,0.1213
Q53124,R246038,0.7837,0.4323,0.1086,0.3217,0.3183,0.0769
Q53125,R079147,0.7929,0.4304,0.1103,0.6022,0.3419,0.1015
Q53129,R056804,0.8468,0.3295,0.0842,0.8933,0.277,0.1128
Q53131,R154951,0.4748,0.3714,0.0699,0.172,0.257,0.0649
Q53132,R939271,0.3325,0.2677,0.051,0.3304,0.2064,0.1155
Q53141,R817434,0.4599,0.3712,0.0586,0.7393,0.2304,0.1008
Q53144,R228806,0.4282,0.3328,0.0776,0.5064,0.2977,0.0824
Q53145,R534408,0.7016,0.363,0.0727,0.6134,0.3303,0.0986
Q53147,R136893,0.6363,0.4164,0.1161,0.7312,0.3289,0.1296
Q53149,R520443,0.3258,0.3975,0.0721,0.601,0.252,0.0973
Q53152,R681800,0.3423,0.3789,0.0665,0.4253,0.3528,0.0841
Q53154,R002239,0.8776,0.2962,0.0926,0.9582,0.1746,0.135
Q53181,R720575,0.8179,0.2875,0.0601,0.5659,0.2923,0.0786
Q53183,R158077,0.7199,0.4498,0.1011,0.3609,0.2844,0.0671
Q53184,R906539,0.3821,0.3829,0.0746,0.537,0.2617,0.0616
Q53195,R284524,0.6612,0.3272,0.0777,0.2574,0.2304,0.0747
Q53197,R078223,0.6558,0.3747,0.0777,0.6069,0.33,0.1013
Q53203,R118036,0.6454,0.4342,0.1114,0.7978,0.3769,0.1305
Q53205,R982433,0.8572,0.3842,0.0751,0.5886,0.3393,0.0975
Q53208,R254375,0.4578,0.3219,0.0527,0.49,0.2491,0.1121
Q53211,R777932,0.3093,0.236,0.0689,0.3187,0.2833,0.0883
Q53213,R957082,0.5681,0.442,0.1191,0.3835,0.2808,0.083
Q53224,R534127,0.4536,0.353,0.0717,0.1333,0.2064,0.0662
Q53231,R274230,0.63,0.4213,0.0865,0.5768,0.3008,0.0774
Q53234,R390542,0.4206,0.3658,0.0667,0.4009,0.2416,0.0834
Q53243,R294740,0.4729,0.4112,0.0679,0.4213,0.236,0.08
Q53246,R133622,0.5216,0.3422,0.0732,0.1739,0.2416,0.0686
Q53254,R582368,0.5722,0.4021,0.0902,0.3368,0.2571,0.0748
Q53255,R803103,0.3215,0.3363,0.0693,0.5972,0.2972,0.077
Q53256,R105130,0.7764,0.3594,0.0912,0.7277,0.2815,0.0874
Q53267,R281119,0.558,0.4149,0.1004,0.4417,0.1955,0.091
Q53272,R359992,0.4792,0.4031,0.0834,0.3304,0.3038,0.1108
Q53277,R980183,0.8927,0.4003,0.1063,0.7914,0.2507,0.0923
Q53280,R824094,0.5834,0.417,0.0909,0.6918,0.3257,0.0996
Q53282,R175637,0.835,0.4229,0.113,0.8299,0.2825,0.0922
Q53284,R536951,0.4188,0.3943,0.0656,0.4393,0.3502,0.0906
Q53287,R443727,0.8009,0.3679,0.1014,0.368,0.2909,0.0935
Q53295,R388956,0.7163,0.4118,0.0801,0.5748,0.2949,0.0963
Q53300,R492418,0.4599,0.3884,0.0737,0.3536,0.3005,0.0757
Q53316,R189397,0.6962,0.4268,0.1061,0.3533,0.2664,0.0682
Q53318,R519797,0.9154,0.2973,0.0555,0.9586,0.2361,0.0812
Q53325,R999626,0.3515,0.3834,0.0791,0.3783,0.2825,0.0881
Q53328,R019469,0.8923,0.288,0.051,0.7419,0.2322,0.0891
Q53333,R144712,0.5137,0.4186,0.0871,0.1239,0.2458,0.08
Q53340,R682689,0.6677,0.3925,0.0866,0.3045,0.2363,0.089
Q53346,R997485,0.5913,0.3844,0.0725,0.63,0.3361,0.0879
Q53347,R450773,0.8515,0.4124,0.1159,0.5656,0.2586,0.0895
Q53350,R739079,0.7802,0.4254,0.1031,0.3566,0.3201,0.0744
Q53351,R649768,0.5706,0.4002,0.1044,0.1212,0.1812,0.0609
Q53356,R192995,0.2861,0.4072,0.0986,0.1428,0.2909,0.0889
Q53362,R113248,0.8906,0.3371,0.0743,0.6822,0.3242,0.0883
Q53368,R033756,0.5098,0.322,0.0674,0.3223,0.2665,0.0817
Q53374,R708649,0.3848,0.3999,0.0868,0.3548,0.3095,0.0845
Q53380,R873679,0.5134,0.3024,0.0559,0.6952,0.2555,0.0948
Q53381,R216179,0.7111,0.3436,0.0871,0.3249,0.2937,0.0718
Q53386,R997449,0.4218,0.3622,0.0721,0.2617,0.2419,0.074
Q53391,R957278,0.7159,0.4113,0.1011,0.5029,0.3408,0.0866
Q53392,R501707,0.5064,0.4233,0.083,0.3556,0.2971,0.0896
Q53395,R555959,0.7247,0.3289,0.0749,0.7835,0.273,0.0877
Q53396,R455372,0.6559,0.3746,0.0881,0.6026,0.3281,0.0816
Q53398,R088921,0.6918,0.4045,0.1042,0.8174,0.3433,0.1054
Q53400,R122216,0.4706,0.3933,0.0799,0.2122,0.2047,0.0613
Q53421,R865944,0.9255,0.3816,0.118,0.9597,0.2836,0.1223
Q53423,R996211,0.8546,0.3566,0.0753,0.4494,0.2118,0.0904
Q53424,R662072,0.5562,0.3954,0.0693,0.206,0.302,0.1034
Q53425,R700429,0.9133,0.323,0.0836,0.7821,0.2523,0.0884
Q53433,R719066,0.5922,0.354,0.0642,0.5574,0.2797,0.0823
Q53440,R602594,0.8067,0.3702,0.0931,0.6756,0.3648,0.1116
Q53444,R617769,0.3045,0.3327,0.0578,0.2928,0.172,0.0756
Q53446,R253027,0.6531,0.3353,0.092,0.5425,0.3049,0.0754
Q53447,R445475,0.831,0.4433,0.1217,0.6555,0.3413,0.0881
Q53454,R424042,0.6027,0.4127,0.0833,0.6688,0.3286,0.1
Q53458,R434781,0.8692,0.422,0.1348,0.6527,0.291,0.1314
Q53464,R708812,0.4169,0.3962,0.0814,0.3434,0.3376,0.1084
Q53467,R862635,0.807,0.4428,0.0762,0.7089,0.3083,0.0869
Q53474,R455363,0.8544,0.4501,0.1142,0.712,0.3164,0.0975
Q53477,R872319,0.295,0.3194,0.0617,0.2481,0.2454,0.0688
Q53500,R538713,0.5141,0.4124,0.0859,0.2968,0.2862,0.0752
Q53502,R051326,0.6132,0.3986,0.109,0.6663,0.3518,0.1299
Q53504,R018459,0.8808,0.4104,0.0999,0.7302,0.3646,0.116
Q53506,R453626,0.5763,0.4152,0.0864,0.5235,0.2949,0.096
Q53508,R573046,0.3344,0.3861,0.0781,0.6582,0.2594,0.1107
Q53515,R141600,0.3719,0.3856,0.071,0.4975,0.254,0.0823
Q53520,R512805,0.7938,0.3283,0.0728,0.5689,0.2427,0.0851
Q53522,R865666,0.4109,0.3823,0.0861,0.5234,0.3289,0.0758
Q53531,R731500,0.467,0.2602,0.0431,0.6341,0.2497,0.0988
Q53532,R836360,0.2474,0.3157,0.0514,0.641,0.294,0.0976
Q53535,R969643,0.3607,0.3343,0.0615,0.4505,0.3247,0.0859
Q53541,R711490,0.6843,0.4245,0.0978,0.4553,0.2773,0.0776
Q53546,R548661,0.554,0.3018,0.0506,0.7773,0.2142,0.1043
Q53547,R103680,0.5988,0.4288,0.0965,0.3631,0.2954,0.0947
Q53548,R981094,0.5515,0.4059,0.0815,0.5161,0.2738,0.0988
Q53550,R685514,0.7753,0.3373,0.0696,0.6744,0.2787,0.0847
Q53553,R094426,0.5642,0.4178,0.0858,0.3281,0.2317,0.0821
Q53563,R152741,0.9302,0.3122,0.059,0.8216,0.3154,0.1004
Q53573,R480138,0.5433,0.3772,0.0651,0.5321,0.3001,0.085
Q53581,R436489,0.5303,0.3823,0.0659,0.5726,0.2501,0.0687
Q53582,R256338,0.8034,0.3536,0.107,0.3752,0.2668,0.0665
Q53584,R455425,0.4819,0.4084,0.084,0.4114,0.2956,0.086
Q53585,R801305,0.779,0.3965,0.0911,0.4595,0.2969,0.0817
Q53586,R912676,0.5008,0.374,0.0601,0.3126,0.2801,0.0862
Q53589,R270149,0.6226,0.39,0.0644,0.5124,0.2977,0.0862
Q53595,R920606,0.7738,0.4139,0.081,0.6057,0.3091,0.0965
Q53596,R104211,0.3503,0.38,0.0573,0.3621,0.3379,0.0884
Q53604,R441036,0.7633,0.4443,0.1084,0.3368,0.3121,0.0721
Q53614,R819238,0.7492,0.4044,0.1078,0.7205,0.3597,0.1114
Q53618,R870176,0.3752,0.2967,0.0636,0.385,0.2796,0.1
Q53620,R586123,0.9153,0.4196,0.1277,0.8812,0.3738,0.1238
Q53621,R547607,0.2714,0.2729,0.0479,0.1318,0.2265,0.1059
Q53625,R248362,0.6395,0.329,0.0697,0.4168,0.2708,0.0824
Q53626,R518372,0.6846,0.4057,0.0689,0.7225,0.3104,0.0756
Q53627,R019102,0.4669,0.3891,0.0739,0.2503,0.3157,0.099
Q53634,R992209,0.9442,0.3617,0.0819,0.6603,0.2314,0.0906
Q53635,R503415,0.8408,0.3969,0.0729,0.7953,0.3161,0.0879
Q53638,R711538,0.4718,0.379,0.0763,0.262,0.2583,0.0643
Q53640,R466357,0.4915,0.3915,0.0729,0.2451,0.2772,0.079
Q53643,R067723,0.8276,0.3891,0.0789,0.2617,0.2197,0.0837
Q53645,R846466,0.8202,0.3438,0.063,0.6673,0.3695,0.1096
Q53653,R559216,0.7549,0.4324,0.1145,0.341,0.2755,0.0911
Q53654,R374828,0.7448,0.3484,0.0876,0.7442,0.2579,0.0808
Q53657,R670031,0.5289,0.3324,0.0678,0.5287,0.2938,0.0852
Q53658,R280680,0.3061,0.3461,0.0558,0.4786,0.2705,0.0876
Q53673,R849788,0.4669,0.3299,0.0543,0.4165,0.2746,0.0839
Q53679,R573783,0.8629,0.4362,0.1336,0.6424,0.3186,0.1106
Q53683,R976705,0.804,0.4226,0.0983,0.9144,0.241,0.1198
Q53687,R899686,0.555,0.4108,0.0793,0.3154,0.2673,0.0761
